tagId,tag
11,3d
19,action
29,adventure
30,affectionate
62,animals
63,animation
64,animation
113,based on book
172,bullying
186,animation
188,disaster
193,cgi
195,chase
203,childhood
204,kids
229,colourful
230,comedy
244,animation
255,cool
260,courage
266,creativity
277,culture clash
299,destiny
302,dialogue
304,dinosaurs
309,disney
310,disney animated feature
334,dynamic cgi action
338,earnest
367,exciting
371,fairy tales
374,family
377,fantasy
378,fantasy
382,fast-paced
412,friendship
417,comedy
472,greed
490,happy ending
497,heartwarming
519,honest
528,humor
529,humor
531,idealism
535,imagination
536,imdb top 250
553,intense
588,kids
589,family
602,philosophy
603,light
610,loneliness
646,mentor
664,monster
717,nostalgic
745,oscar
748,oscar (best animated feature)
750,oscar (best directing)
752,oscar (best effects - visual effects)
756,oscar (best picture)
760,oscar (best writing - screenplay written directly for the screen)
761,oscar winner
785,pixar
786,pixar animation
840,realistic
844,redemption
867,runaway
881,saturn award (best special effects)
897,secrets
900,sentimental
921,simple
936,social commentary
942,space
951,special effects
967,stereotypes
971,story
972,storytelling
990,superhero
992,suprisingly clever
999,suspense
1003,sweet
1007,animals
1008,talky
1012,technology
1035,touching
1036,toys
1051,plot twist
1062,unlikely friendships
1064,unusual plot structure
1071,comedy
1090,visual
1093,visual
1104,surrealism
1108,whimsical
1114,witty
21,adaptation
22,based on book
107,based on book
112,based on video game
245,based on video game
345,effects
502,high fantasy
584,jungle
604,lions
623,magic
662,monkey
690,mythology
694,disaster
765,parallel universe
882,horror
920,silly
953,spiders
991,supernatural
1026,time
1028,time travel
1040,transformation
1074,video game
1076,based on video game
1077,based on video game
264,crappy sequel
397,fish
403,foul language
481,gunfight
505,comedy
654,minnesota
726,nudity
863,romance
865,romantic comedy
901,sequel
902,sequel
915,shopping
1070,vengeance
1102,wedding
28,adultery
128,betrayal
179,cancer
196,cheating
201,romantic comedy
313,divorce
328,drinking
425,gay
545,infidelity
556,interracial romance
613,romance
614,romance
846,relationships
864,romance
913,shallow
1116,women
376,family drama
383,father-daughter relationship
524,hospital
650,midlife crisis
768,parenthood
808,pregnancy
849,remade
922,single father
926,slapstick
20,action
67,anti-hero
82,assassination
86,atmospheric
94,awesome soundtrack
105,robbery
143,bleak
146,gore
162,breathtaking
168,violence
169,violence
181,caper
192,cerebral
194,character study
212,cinematography
240,complex
241,complex characters
242,complicated
258,corruption
268,crime
269,crime gone awry
270,criterion
276,cult
300,detective
323,drama
324,drama
351,enigmatic
354,ensemble cast
356,dialogue
366,exceptional acting
368,existentialism
389,action
401,forceful
422,gangs
423,gangster
424,gangster
443,golden palm
463,gratuitous violence
473,grim
475,gritty
482,guns
493,harsh
498,heist
510,hit men
512,hitman
558,investigation
585,justice
601,death
609,lone hero
612,los angeles
640,melancholic
641,melancholy
658,organized crime
668,moral ambiguity
679,multiple storylines
682,murder
691,narrated
700,noir
710,nocturnal
733,obsession
741,organized crime
751,oscar (best editing)
758,oscar (best supporting actor)
771,passionate
789,plot twist
795,police
796,corruption
797,investigation
806,powerful ending
841,realistic action
845,reflective
850,revenge
857,robbery
930,slow-paced
937,solitude
981,stylish
982,stylized
997,surveillance
1000,suspense
1020,suspense
1025,thriller
1052,undercover cop
1055,understated
1084,violence
1085,violence
1089,visceral
1101,guns
109,adapted from play
381,fashion
769,paris
152,based on book
154,based on book
605,literary adaptation
73,arms dealer
129,better than expected
150,explosions
183,chase
221,clones
369,explosions
390,fighting
525,kidnapping
631,martial arts
811,president
896,secret service
1075,video game adaptation
1,007
2,007
49,alter ego
81,assassination
151,bond
226,cold war
251,conspiracy
273,cuba
361,espionage
396,first contact
406,franchise
573,bond
672,motorcycle
737,oil
816,product placement
868,russia
869,russia
904,series
911,sexuality
955,spies
960,spies
961,espionage
1022,terrorism
1119,politics
160,brainwashing
252,conspiracy
408,free speech
441,global warming
627,manipulation
759,oscar (best supporting actress)
798,politics
800,politics
818,propaganda
875,sappy
18,absurd
379,farce
533,idiotic
770,parody
893,screwball
919,silly
958,spoof
980,stupidity
1057,unfunny
1067,vampire
1069,vampire
40,alaska
110,based on true story
115,based on true story
316,dog
317,dog
1047,based on true story
133,biographical
134,biopic
135,biopic
175,california
253,controversial
288,dark hero
370,factual
508,history
509,history
746,oscar (best actor)
747,oscar (best actress)
766,paranoia
767,paranoia
801,sexuality
833,race
1037,tragedy
1045,tricky
1065,history
568,island
784,pirates
1001,swashbuckler
1005,sword fighting
1006,sword fighting
1043,treasure
1044,treasure
1091,visually appealing
8,1970s
9,1980s
173,business
187,casino
247,con artists
285,dark
289,dark comedy
303,dialogue
312,disturbing
329,drug addiction
330,drug addiction
331,drugs
421,casino
458,gore
564,ireland
595,las vegas
622,gangster
645,mental illness
730,nudity
793,poker
825,pulp
837,rags to riches
910,sexualized violence
1049,plot twist
3,18th century
10,19th century
122,beautifully filmed
164,british
238,compassionate
259,costume drama
348,emotional
350,british
496,heartbreaking
557,intimate
574,jane austen
606,literature
608,london
629,wedding
749,oscar (best cinematography)
774,period piece
809,prejudice
912,shakespeare
923,sisters
141,dark comedy
286,dark comedy
341,eccentricity
526,hotel
540,independent film
547,insanity
619,macabre
652,mindfuck
656,identity
732,nudity
735,off-beat comedy
792,pointless
829,quirky
876,sarcasm
1009,tarantino
1050,plot twist
1112,witch
34,africa
265,crazy
272,crude humor
476,gross-out
815,detective
852,ridiculous
167,brothers
661,money
704,new york
705,new york
956,gore
1038,train
224,coen brothers
514,hollywood
565,ironic
674,movie business
877,satire
878,satire
489,hannibal lecter
532,identity
555,internet
683,murder
689,mystery
788,plot holes
821,psychiatry
823,psychology
824,psychology
874,san francisco
903,serial killer
1082,vigilante
83,assassins
26,teen
46,allegory
48,alone in the world
138,bittersweet
235,coming-of-age
292,death
306,disability
527,humanity
548,inspirational
579,jesus
625,nudity
791,poignant
870,sacrifice
888,science
998,survival
1011,tear jerker
1024,thought-provoking
25,drug addiction
42,drinking
218,claustrophobic
282,cynical
296,depressing
297,depression
319,downbeat
491,hard to watch
544,indie
727,nudity
819,prostitution
871,sad
985,suicide
1122,writer's life
236,coming-of-age
1013,teen
1014,teen
1015,teen
1016,teen
1017,teen
1111,wistful
36,aging
52,alternate reality
55,amazing photography
75,art
76,art house
79,art
80,artsy
139,bizarre
213,circus
222,clones
250,confusing
267,horror
274,cult
280,cyberpunk
287,dark fantasy
311,distopia
325,surrealism
326,dreams
336,dystopia
337,dystopia
344,eerie
372,fairy tales
402,foreign
404,fountain of youth
405,french
411,french
419,future
420,future
438,gilliam
487,hallucinatory
587,kidnapping
620,mad scientist
660,fantasy
666,moody
715,nonlinear
739,ominous
744,orphans
779,philosophy
780,philosophy
782,photographer
802,post-apocalyptic
803,post-apocalyptic
851,revolution
886,sci-fi
887,sci-fi
889,sci-fi
890,sci-fi
966,steampunk
974,bizarre
995,surrealism
996,surrealism
1059,unique
5,1930s
205,china
639,meditative
753,oscar (best foreign language film)
1029,japan
343,educational
503,high school
507,hip hop
549,inspirational
600,life
790,poetry
885,high school
898,segregation
1010,teacher
50,alternate endings
53,parallel universe
70,post-apocalyptic
163,brilliant
349,end of the world
391,fighting the system
429,genetics
430,genius
550,intellectual
551,intelligent
552,sci-fi
637,maze
642,memory
643,memory
714,nonlinear
719,not funny
778,philip k. dick
822,psychiatry
880,saturn award (best science fiction film)
884,schizophrenia
891,sci-fi
950,special
994,surprise ending
1027,time loop
1066,utopia
1088,virus
12,70mm
51,alternate history
92,aviation
149,bollywood
677,mozart
973,stranded
783,pigs
78,art
426,gay
518,gay
615,love triangles
720,nudity
907,sexuality
1123,writing
190,catholicism
261,courtroom
262,courtroom
293,death penalty
335,dysfunctional family
442,god
478,guilt
597,lawyers
598,lawyers
669,morality
813,prison
838,rape
847,religion
1034,torture
307,disappointing
359,epic
1053,underdog
27,adoption
176,camp
1004,switching places
197,cheerleading
427,geek
428,geek
1086,virginity
832,race
939,africa
380,fascism
843,rebellion
858,robert downey jr
142,blaxploitation
362,ethnic conflict
1079,vietnam
1080,vietnam
1096,war
314,doctors
563,ireland
638,medieval
731,nudity
892,scotland
23,based on comic
24,based on video game
198,cheesy
322,dragon
520,hong kong
538,immortality
592,kung fu
707,ninja
373,documentary
582,journalism
659,mockumentary
842,reality tv
931,small town
1019,television
1061,unlikeable characters
131,biblical
145,gore
393,noir
413,frightening
456,gore
462,based on comic
477,gruesome
711,noir
712,noir
1083,vigilantism
543,indians
686,musical
693,native americans
755,oscar (best music - original song)
360,erotic
440,glbt
517,gay
599,lesbian
905,sexuality
909,sexuality
33,afi 100 (movie quotes)
248,con men
398,flashbacks
773,perfect
895,script
437,giant robots
571,italian
805,poverty
1068,vampire human love
935,football
959,sports
684,music
687,music
862,rock and roll
457,gore
513,holiday
72,argentina
572,italy
618,lyrical
899,self discovery
948,spanish
1124,writing
511,hitchcock
908,sexual abuse
676,moving
506,hillarious
879,saturday night live
157,boston
124,drinking
594,lame
1103,marijuana
308,disaster
484,hackers
485,hackers
1087,virtual reality
516,homeless
118,bdsm
725,nudity
728,nudity
729,nudity
828,gay
207,chris tucker
628,marijuana
702,new jersey
925,slackers
177,campy
294,demons
474,grindhouse
522,horror
648,mexico
762,over the top
932,snakes
975,strippers
1127,zombie
386,fbi
227,college
68,anti-semitism
434,germany
515,holocaust
580,judaism
581,jewish
696,nazi
697,nazi
794,poland
1121,wwii
1126,wwii
74,arnold
43,alien
59,androids
60,androids
77,artificial intelligence
281,androids
298,desert
653,mining
663,monster
724,nuclear
860,robot
861,robot
87,australia
315,documentary
433,german
189,cathartic
263,courtroom
1031,tom clancy
559,iran
483,gypsy accent
191,censorship
624,magic realism
214,american civil war
539,incest
7,1960s
734,ocean
855,road trip
928,slavery
460,gothic
459,gothic
1106,werewolf
651,military
723,nuclear
140,black and white
210,christmas
249,confrontational
835,racism
924,skinhead
984,suburbia
1117,working class
185,cars
703,new orleans
799,corruption
291,deadpan
305,directorial debut
566,irreverent
1023,texas
444,golf
781,photographer
394,finnish
409,free to download
1094,voodoo
681,muppets
827,puppets
839,rats
632,marvel
56,american civil war
171,bullshit history
353,enormously long battle scene
410,freedom
431,genocide
567,islam
546,innocence lost
569,isolation
178,canada
1110,wine
1098,wartime
165,british comedy
644,mental hospital
836,radio
88,australia
89,author:alan moore
239,competition
495,hawaii
834,racing
952,spelling bee
202,child abuse
721,notable soundtrack
1125,wuxia
866,rome
894,screwball
90,neil gaiman
523,horse
570,israel
963,stand-up comedy
562,ireland
1109,wilderness
144,blindness
1095,voyeurism
983,submarine
37,aids
271,cross dressing
375,family bonds
116,basketball
499,drugs
57,amnesia
812,pretentious
84,astronauts
630,mars
667,moon
692,nasa
757,oscar (best sound)
943,space opera
944,space program
945,space travel
137,biting
108,based on comic
117,batman
232,based on comic
233,based on comic
234,based on comic
290,dc comics
987,superhero
988,superhero
989,superhero
649,middle east
14,9/11
182,capitalism
257,corporate america
560,iraq
35,afterlife
435,afterlife
436,afterlife
494,haunted house
148,boat
480,gulf war
722,nuclear
1056,ocean
1046,trilogy
590,king arthur
246,computers
114,based on comic
231,based on comic
688,mutants
301,devil
1113,witch
596,south america
986,suicide
577,jay and silent bob
1081,view askew
111,adapted from tv
256,corny
617,lynch
208,christianity
209,christianity
357,environmental
358,environmental
1118,workplace
583,judaism
804,potential oscar nom
284,dance
479,guilty pleasure
384,father-son relationship
44,alien
45,alien
530,hunting
16,aardman studios
6,1950s
670,mother-daughter relationship
918,silent
106,baseball
1041,transgender
1107,western
147,boarding school
237,communism
1039,train
1078,vienna
58,amy smart
1021,terminal illness
180,cannibalism
927,slasher
254,cooking
399,food
295,depp & burton
740,opera
947,spain
219,claymation
969,stop-motion
970,stop-motion
736,office
706,new zealand
575,japan
873,samurai
13,1980s
385,father-son relationship
716,nostalgic
810,prequel
954,spielberg
965,star wars
1115,wizards
541,india
206,chocolate
1120,wwi
537,immigrants
352,ennio morricone
671,mother-son relationship
848,remade
41,alcatraz
814,prison escape
500,heroine
820,psychedelic
85,atheism
4,1920s
576,japan
946,spaghetti western
929,slow
130,better than the american version
71,archaeology
346,egypt
1018,teleportation
407,francis ford copolla
826,punk
957,spock
964,star trek
318,dolphins
119,beatles
685,music
166,broadway
211,cia
486,halloween
754,oscar (best music - original score)
699,neo-nazis
817,prohibition
39,airport
1105,werewolf
916,short
1060,united nations
123,beauty pageant
917,memory
673,mountain climbing
701,nerds
993,surfing
38,aviation
678,mtv
199,chess
200,chicago
228,colonialism
225,coen brothers
713,non-hollywood ending
158,bowling
461,graphic design
400,football
635,mathematics
174,c.s. lewis
626,man versus machine
578,jazz
47,almodovar
1002,swedish
586,kick-butt women
126,best of 2005
488,handycam
941,southern theme
65,anime
432,george orwell
949,spanish civil war
69,anti-war
561,iraq
283,dance
321,dragon
655,mission from god
856,roald dahl
1100,watch the credits
125,germany
914,shark
647,metaphysics
15,aardman
159,boxing
1128,zombie
1063,unrealistic
772,penguins
831,rabbits
591,kubrick
161,brazil
607,liv tyler
1048,truman capote
1058,unintentionally funny
342,ecology
680,mummy
708,no dialogue
534,imaginary friend
104,ballet
363,evolution
853,rio de janeiro
738,olympics
136,birds
940,south america
633,marx brothers
665,monty python
17,abortion
695,nature
223,clowns
542,indiana jones
593,kurosawa
395,firefly
636,mathematics
66,antarctica
962,stage magic
91,autism
938,sophia coppola
621,made for tv
392,figure skating
775,peter pan
1030,tolkien
906,sex comedy
340,germany
327,dreamworks
184,carrie-anne moss
859,robert ludlum
764,palestine
657,miyazaki
976,studio ghibli
320,dr. seuss
501,heroine in tight suit
347,emma watson
492,harry potter
698,neil gaiman
