movieId,title,tags
1,Toy Story (1995),"['animation', 'family', 'animation', 'kids', 'kids', 'animation', 'animation', 'imdb top 250', 'friendship', 'story']"
2,Jumanji (1995),"['adventure', 'kids', 'fantasy', 'kids', 'special effects', 'fantasy', 'childhood', 'animals', 'family', 'based on book']"
3,Grumpier Old Men (1995),"['sequel', 'sequel', 'comedy', 'gunfight', 'romance', 'destiny', 'crappy sequel', 'comedy', 'vengeance', 'mentor']"
4,Waiting to Exhale (1995),"['women', 'romantic comedy', 'divorce', 'romance', 'relationships', 'romance', 'unlikely friendships', 'adultery', 'drinking', 'stereotypes']"
5,Father of the Bride Part II (1995),"['sequel', 'sequel', 'family', 'comedy', 'parenthood', 'sentimental', 'comedy', 'wedding', 'touching', 'destiny']"
6,Heat (1995),"['crime', 'action', 'gunfight', 'imdb top 250', 'violence', 'suspense', 'relationships', 'intense', 'chase', 'betrayal']"
7,Sabrina (1995),"['remade', 'romance', 'romantic comedy', 'romance', 'romance', 'adapted from play', 'destiny', 'romance', 'romantic comedy', 'relationships']"
8,Tom and Huck (1995),"['based on book', 'based on book', 'adaptation', 'based on book', 'adventure', 'childhood', 'runaway', 'family', 'based on book', 'based on book']"
9,Sudden Death (1995),"['action', 'lone hero', 'action', 'action', 'kidnapping', 'explosions', 'chase', 'gunfight', 'fighting', 'vengeance']"
10,GoldenEye (1995),"['action', 'franchise', 'espionage', 'chase', 'assassination', 'espionage', 'series', 'adventure', 'guns', 'action']"
11,"American President, The (1995)","['politics', 'politics', 'politics', 'romance', 'romance', 'romantic comedy', 'romance', 'drama', 'romantic comedy', 'idealism']"
12,Dracula: Dead and Loving It (1995),"['parody', 'comedy', 'comedy', 'farce', 'silly', 'silly', 'comedy', 'screwball', 'comedy', 'slapstick']"
13,Balto (1995),"['animation', 'animation', 'animals', 'family', 'animation', 'animals', 'based on true story', 'animation', 'family', 'based on true story']"
14,Nixon (1995),"['politics', 'biographical', 'biopic', 'politics', 'biopic', 'race', 'politics', 'corruption', 'factual', 'drama']"
15,Cutthroat Island (1995),"['action', 'adventure', 'action', 'chase', 'action', 'visually appealing', 'explosions', 'special effects', 'lone hero', 'betrayal']"
16,Casino (1995),"['organized crime', 'gangster', 'organized crime', 'gangster', 'gangster', 'violence', 'violence', 'narrated', 'oscar (best supporting actor)', 'imdb top 250']"
17,Sense and Sensibility (1995),"['based on book', 'costume drama', 'period piece', 'romance', 'literature', 'based on book', 'british', 'adaptation', 'romantic comedy', 'passionate']"
18,Four Rooms (1995),"['hotel', 'off-beat comedy', 'storytelling', 'multiple storylines', 'stylish', 'dark comedy', 'vengeance', 'gangster', 'comedy', 'gangster']"
19,Ace Ventura: When Nature Calls (1995),"['silly', 'comedy', 'detective', 'sequel', 'comedy', 'comedy', 'sequel', 'comedy', 'stupidity', 'silly']"
20,Money Train (1995),"['action', 'chase', 'action', 'new york', 'vengeance', 'new york', 'gunfight', 'action', 'mentor', 'lone hero']"
21,Get Shorty (1995),"['organized crime', 'gangster', 'gangster', 'cool', 'crime', 'greed', 'dialogue', 'gangster', 'off-beat comedy', 'sarcasm']"
22,Copycat (1995),"['serial killer', 'suspense', 'detective', 'suspense', 'murder', 'investigation', 'psychology', 'investigation', 'thriller', 'murder']"
23,Assassins (1995),"['hit men', 'assassination', 'action', 'assassination', 'hitman', 'surveillance', 'chase', 'gunfight', 'explosions', 'mentor']"
24,Powder (1995),"['touching', 'humanity', 'nudity', 'mentor', 'emotional', 'technology', 'fantasy', 'destiny', 'philosophy', 'death']"
25,Leaving Las Vegas (1995),"['drinking', 'loneliness', 'melancholic', 'drinking', 'oscar (best actress)', 'depressing', 'depression', 'character study', 'drug addiction', 'downbeat']"
26,Othello (1995),"['tragedy', 'adaptation', 'betrayal', 'adapted from play', 'literature', 'dialogue', 'mentor', 'nudity', 'passionate', 'drama']"
27,Now and Then (1995),"['coming-of-age', 'friendship', 'unlikely friendships', 'teen', 'women', 'childhood', 'coming-of-age', 'nostalgic', 'awesome soundtrack', 'teen']"
28,Persuasion (1995),"['based on book', 'adaptation', 'literature', 'period piece', 'british', 'costume drama', 'beautifully filmed', 'romance', 'based on book', 'romance']"
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","['visual', 'surrealism', 'surrealism', 'imagination', 'dreams', 'visually appealing', 'dark', 'surrealism', 'surrealism', 'stylized']"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),"['cinematography', 'beautifully filmed', 'gangster', '1930s', 'visual', 'storytelling', 'foreign', 'visually appealing', 'enigmatic', 'organized crime']"
31,Dangerous Minds (1995),"['high school', 'mentor', 'inspirational', 'high school', 'hip hop', 'gangster', 'drama', 'happy ending', 'based on true story', 'death']"
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"['dystopia', 'future', 'sci-fi', 'sci-fi', 'complicated', 'future', 'sci-fi', 'complex', 'dystopia', 'imdb top 250']"
33,Wings of Courage (1995),"['mentor', 'destiny', 'culture clash', 'fantasy', 'drama', 'adventure', 'parallel universe', 'internet', 'idiotic', 'corruption']"
34,Babe (1995),"['animals', 'animals', 'kids', 'heartwarming', 'sweet', 'family', 'family', 'animation', 'fairy tales', 'story']"
35,Carrington (1995),"['relationships', 'romance', 'based on book', 'british', 'art', 'romance', 'passionate', 'melancholic', 'intimate', 'mentor']"
36,Dead Man Walking (1995),"['death', 'oscar (best actress)', 'crime', 'redemption', 'based on book', 'death', 'compassionate', 'drama', 'murder', 'social commentary']"
37,Across the Sea of Time (1995),"['storytelling', 'visual', 'technology', 'new york', 'happy ending', 'destiny', 'visual', 'breathtaking', 'mentor', 'corruption']"
38,It Takes Two (1995),"['camp', 'sweet', 'kids', 'kids', 'family', 'nostalgic', 'childhood', 'romance', 'mentor', 'women']"
39,Clueless (1995),"['teen', 'teen', 'high school', 'teen', 'teen', 'romantic comedy', 'teen', 'awesome soundtrack', 'comedy', 'coming-of-age']"
40,"Cry, the Beloved Country (1995)","['segregation', 'based on book', 'prejudice', 'adaptation', 'tragedy', 'based on book', 'harsh', 'race', 'based on book', 'literature']"
41,Richard III (1995),"['british', '1930s', 'adapted from play', 'adaptation', 'oscar (best supporting actress)', 'literature', 'manipulation', 'visually appealing', 'dialogue', 'betrayal']"
42,Dead Presidents (1995),"['violence', 'crime', 'violence', 'gangster', 'gore', 'violence', 'redemption', 'mentor', 'gore', 'intense']"
43,Restoration (1995),"['period piece', 'british', 'ireland', 'history', 'costume drama', 'london', 'history', 'doctors', 'light', 'redemption']"
44,Mortal Kombat (1995),"['action', 'action', 'fighting', 'awesome soundtrack', 'special effects', 'violence', 'franchise', 'action', 'silly', 'cool']"
45,To Die For (1995),"['obsession', 'dark comedy', 'documentary', 'dark comedy', 'manipulation', 'dark comedy', 'sexuality', 'satire', 'oscar (best directing)', 'satire']"
