toys,computer animation,pixar animation,kids and family,animation
adventure,children,fantasy,kids,special effects
sequel,good sequel,sequels,comedy,original
women,chick flick,divorce,girlie movie,romantic
sequel,good sequel,father daughter relationship,sequels,pregnancy
crime,heist,bank robbery,great acting,action
remake,romantic,romantic comedy,romance,love
based on a book,adapted from:book,adaptation,literary adaptation,based on book
action,good action,lone hero,action packed,fight scenes
007 (series),007,bond,action,franchise
president,politics,world politics,political,love story
spoof,parody,comedy,hilarious,farce
animation,dog,animated,talking animals,dogs
president,world politics,biographical,biopic,politics
treasure hunt,swashbuckler,pirates,action,adventure
organized crime,mafia,mob,casino,gangster
18th century,adapted from:book,costume drama,period piece,romantic
hotel,off-beat comedy,storytelling,tarantino,multiple storylines
goofy,silly fun,comedy,dumb,detective
action,chase,good action,action packed,new york
mob,gangster,gangsters,great movie,original
serial killer,suspenseful,detective,suspense,murder mystery
hit men,assassin,assassins,action,assassination
touching,humanity,male nudity,mentor,emotional
drinking,loneliness,melancholic,alcoholism,oscar (best actress)
shakespeare,tragedy,great acting,adaptation,betrayal
coming of age,friendship,girlie movie,unlikely friendships,adolescence
adapted from:book,18th century,jane austen,adaptation,literature
dark fantasy,visually stunning,visual,surreal,weird
cinematography,beautifully filmed,gangster,1930s,stunning
teacher,good soundtrack,high school,mentor,inspirational
dystopic future,future,time loop,science fiction,sci fi
70mm,original,aviation,good,mentor
talking animals,animals,animal movie,pigs,children
relationships,love,based on a book,england,artist
death penalty,death,oscar (best actress),crime,redemption
storytelling,3d,visual,technology,new york city
single father,cute,cute!,switching places,girlie movie
teen movie,teen,girlie movie,high school,teenager
south africa,segregation,based on a book,africa,prejudice
shakespeare,robert downey jr,england,1930s,based on a play
bank robbery,heist,violence,crime,vietnam war
period piece,england,robert downey jr,irish accent,historical
video game adaptation,based on a video game,martial arts,video game,adapted from:game
obsession,dark humor,fake documentary,dark comedy,manipulation
women,love,chick flick,relationships,marriage
serial killer,police investigation,powerful ending,great ending,detective
disney animated feature,native americans,animation,indians,cartoon
lesbian,love story,beautifully filmed,nudity (topless - notable),love
oscar (best supporting actor),plot twist,surprise ending,twists & turns,great ending
adoption,oscar (best supporting actress),parenthood,independent film,original
independent film,criterion,melancholic,giant robots,runaway
kids,kids and family,sports,children,disney
sisters,musicians,addiction,music,relationships
kids,original,kids and family,predictable,fantasy
dysfunctional family,robert downey jr,off-beat comedy,drama,holiday
beautiful scenery,beautifully filmed,melancholic,love story,mentor
storytelling,criterion,enigmatic,oscar (best foreign language film),foreign
based on a book,indians,based on book,magic,fantasy
vigilante,vigilantism,rape,vengeance,revenge
music,musicians,mentor,teacher,classical music
spoof,parody,comedy,funniest movies,hilarious
so bad it's funny,romantic comedy,great,original,island
stupid,idiotic,goofy,stupidity,dumb
virtual reality,scifi,future,bad acting,horrible
coming of age,life & death,mentor,solitude,homeless
relationships,lesbian,sexual,women,sexuality
comedy,weed,funny,funniest movies,chris tucker
splatter,vampires,cult classic,bloody,violence
notable nudity,chase,action,car chase,good action
college,dialogue driven,talky,criterion,dialogue
adapted from:book,world war ii,based on a book,beautifully filmed,jewish
chick flick,romantic,love story,romantic comedy,romance
bullying,childhood,arnold,original,school
scifi,sci-fi,futuristic,robots,sci fi
music,musicians,documentary,artist,drug abuse
guilt,vengeance,redemption,independent film,death
mafia,tom clancy,thriller,surveillance,mob
children,iran,childhood,money,greed
crime gone awry,organized crime,gangster,gangsters,hit men
oscar (best foreign language film),women,relationships,intellectual,reflective
segregation,visually appealing,based on a book,original,holocaust
unusual plot structure,independent film,original,weird,family
male nudity,secrets,incest,period piece,costume drama
coming of age,mentor,adventure,based on true story,coming-of-age
single father,kids and family,family,hotel,kids
comedy,saturday night live,funny,very funny,hilarious
conspiracy,suspense,assassination,tense,kidnapping
runaway,slavery,original,brutality,beautifully filmed
irish accent,original,mad scientist,story,based on a book
vampires,vampire,comedy,horror,original
small town,coming of age,friendship,relationships,mentor
action,action packed,good action,gunfight,explosions
shakespeare,ensemble cast,christmas,love,dysfunctional family
social commentary,powerful ending,criterion,bleak,black and white
independent film,original,shopping,pointless,pornography
prostitution,pornography,greed,los angeles,california
political corruption,world politics,corruption,politics,political
independent film,heist,quirky,humorous,off-beat comedy
comedy,horrible,original,funny,goofy
murder mystery,thriller,murder,twists & turns,suspense
golf,comedy,sports,goofy,hilarious
love story,romantic,romance,bittersweet,adultery
german,germany,life philosophy,voodoo,oscar (best foreign language film)
muppets,treasure hunt,treasure,fun movie,adventure
grindhouse,hip hop,fashion,original,documentary
historical,history,oscar (best picture),oscar (best directing),courage
loneliness,masterpiece,character study,golden palm,imdb top 250
martial arts,kung fu,fight scenes,hong kong,action
family drama,family,drama,original,murder
mining,canada,story,love story,beautiful scenery
relationships,women,spanish,criterion,wine
holocaust,jews,poland,anti-semitism,world war ii
true story,based on a true story,based on true story,murder,dark
independent film,romantic comedy,relationships,romantic,good soundtrack
lawyer,gangsters,lawyers,original,good
australia,teacher,australian,race,feel-good
child abuse,sexual abuse,disturbing,corruption,pornography
nudity (topless - brief),comedy,sexy,romance,funny
loneliness,love,criterion,notable soundtrack,melancholic
beautifully filmed,loneliness,rome,original,foreign
adoption,ensemble cast,independent film,comedy,funny
magic,fantasy world,fantasy,original,dragons
women,culture clash,sexy,coming-of-age,original
homeless,drugs,documentary,obsession,biography
romance,love,nudity (topless - notable),romantic,quirky
ireland,irish accent,irish,based on true story,happy ending
sex,murder,san francisco,sexual,murder mystery
submarine,comedy,hilarious,silly,silly fun
documentary,women,life,criterion,original
gay,aids,independent film,documentary,life philosophy
based on a book,books,book,adapted from:book,based on book
love story,romantic,romance,chick flick,mentor
cross dressing,gay,gay character,homosexuality,homophobia
irish,independent film,relationships,love,brothers
good action,action,action packed,buddy movie,comedy
family,kids,china,adventure,cute
drug abuse,drug addiction,addiction,drugs,mentor
weird,nudity (topless - notable),original,nudity (topless),england
independent film,quirky,hit men,deadpan,amnesia
space program,astronauts,nasa,space travel,space
sword fight,18th century,sword fighting,scotland,beautiful scenery
vampires,vampire,addiction,goth,drug addiction
batman,dark hero,super-hero,vigilante,franchise
sexual,enigmatic,criterion,obsession,fantasy
world politics,civil war,sacrifice,original,indians
independent film,new york city,new york,great,good soundtrack
satire,politics,satirical,military,sarcasm
ghosts,children,family,childhood,afterlife
drugs,crime,drug addiction,addiction,good soundtrack
jungle,based on a book,adapted from:book,adventure,big budget
tom clancy,tense,submarine,military,cold war
artistic,art,obsession,documentary,artist
action,violence,stylish,gunfight,good action
neo-noir,los angeles,based on a book,noir,film noir
action,lone hero,vengeance,action packed,good action
sex,violence,sexual,surreal,cult film
beautifully filmed,death,wartime,visually appealing,original
medieval,love story,chick flick,romance,king arthur
family,adventure,sequels,original,predictable
hacking,geeks,hackers,cyberpunk,awesome soundtrack
gay character,gay,aids,queer,homosexuality
cyberpunk,dystopic future,future,futuristic,sci-fi
based on a comic,futuristic,adapted from:comic,future,sci-fi
comedy,idiotic,funny,stupid,original
controversial,drugs,pornography,golden palm,drug abuse
independent film,indie,dreams,low budget,original
dark fantasy,supernatural,horror,demons,devil
gay,relationships,gay character,love,lesbian
love,love story,romance,original,teen movie
view askew,jay and silent bob,comedy,new jersey,slackers
ninja,based on a tv show,original,mentor,nostalgic
relationships,chick flick,women,friendship,life philosophy
suspenseful,chase,thriller,suspense,murder
vampire,vampires,goth,new york,eccentricity
internet,chase,hacking,conspiracy,technology
comedy,pregnancy,chick flick,romantic comedy,parenthood
fun movie,independent film,indie,original,life philosophy
devil,god,religion,biblical,catholicism
christmas,hit men,original,holiday,runaway
environment,independent film,social commentary,enigmatic,loneliness
based on a book,adapted from:book,based on book,adaptation,book
hip hop,documentary,corruption,giant robots,spelling bee
nudity (topless),erotic,nudity (topless - brief),strippers,pornography
independent film,oscar (best supporting actor),storytelling,ensemble cast,father son relationship
sisters,women,family,dysfunctional family,natural disaster
alien,aliens,sci-fi,first contact,alien invasion
oil,1930s,small town,texas,original
cyberpunk,future,futuristic,virtual reality,science fiction
golden palm,bittersweet,romantic,melancholic,music
adoption,original,women,runaway,vengeance
dog,sentimental,feel-good,family,kids and family
gay character,mentor,biographical,gay,homosexuality
cross dressing,small town,homophobia,gay,queer
action,train,good action,action packed,fight scenes
cancer,dysfunctional family,drama,original,storytelling
fashion,women,sexual,documentary,very interesting
romance,romantic,love story,love,chick flick
futuristic,post-apocalyptic,post apocalyptic,big budget,future
race issues,alternate reality,original,stereotypes,alternate history
western,gunfight,life & death,biopic,original
teacher,mentor,life & death,school,reflective
children,kids,kids and family,adventure,comedy
oscar (best foreign language film),russian,russia,foreign,father daughter relationship
criterion,non-linear,brutality,wartime,storytelling
romantic,dialogue driven,vienna,love story,romance
funniest movies,comedy,goofy,stupidity,hilarious
obsession,teenager,fantasy,pornography,teen movie
women,friendship,unlikely friendships,road movie,aids
coming of age,friendship,unlikely friendships,terminal illness,childhood
horror,splatter,death,creepy,cannibalism
adapted from:book,irish,friendship,ireland,irish accent
view askew,jay and silent bob,independent film,new jersey,slackers
fantasy,romance,love,romantic,psychiatrist
sexual,based on a book,workplace,erotic,conspiracy
good action,action,fight scenes,action packed,chase
las vegas,destiny,dialogue,quirky,original
psychological,world politics,dialogue driven,guilt,intense
adapted from:book,drama,small town,murder,secrets
dumb,suprisingly clever,funniest movies,dumb but funny,comedy
father daughter relationship,relationships,cooking,single father,amazing cinematography
complex,enigmatic,melancholic,obsession,art house
bdsm,erotic,nudity (topless - notable),male nudity,pornography
oscar (best supporting actor),eccentricity,biopic,imdb top 250,affectionate
romantic comedy,romantic,france,paris,good romantic comedies
paris,romantic comedy,romantic,romance,comedy
dog,wilderness,dogs,kids and family,family
cartoon,goofy,disney animated feature,animation,disney
based on a book,serial killer,based on book,adapted from:book,adaptation
dog,dogs,kids and family,animals,animal movie
18th century,mozart,opera,music,biopic
talking animals,family,pigs,animals,kids and family
stop motion,original,robot,cartoon,claymation
police,police corruption,corruption,police investigation,justice
oscar (best editing),sports,documentary,poverty,criterion
obsession,friendship,fantasy world,surreal,true story
comedy,family,funny,chase,hilarious
biographical,classical music,music,mozart,biopic
camp,kids,fun movie,nostalgic,childhood
ninja,fight scenes,action,sword fighting,vengeance
romantic comedy,romantic,chick flick,love story,romance
vampires,vampire,immortality,adapted from:book,based on a book
revolution,18th century,history,historical,france
comedy,mob,funny,mafia,very funny
arnold,pregnancy,comedy,silly fun,silly
lawyers,vengeance,death penalty,lawyer,murder
kids,kids and family,disney,king arthur,childhood
nudity (topless - brief),gangster,mob,gangsters,crime
space opera,science fiction,sci fi,scifi,trilogy
family bonds,adapted from:book,girlie movie,sisters,costume drama
imagination,based on a book,boarding school,adapted from:book,beautifully filmed
social commentary,harsh,children,relationships,working class
obsession,psychological,adultery,insanity,paranoia
magic realism,cooking,passionate,relationships,love
oscar (best cinematography),brothers,love story,epic,family bonds
comedy,children,funniest movies,funny,hilarious
dysfunctional family,organized crime,hit men,original,crime
los angeles,gangs,friendship,california,drugs
love story,love,remake,romance,romantic
adoption,mother-son relationship,children,lawyers,family
18th century,costume drama,england,history,historical
adapted from:book,based on a book,based on book,adaptation,mad scientist
chase,family,children,divorce,kids
christmas,holiday,remake,comedy,original
single father,prostitution,kids,kids and family,happy ending
remake,holiday,christmas,original,family
relationships,infidelity,marriage,cheating,original
los angeles,family,dysfunctional family,california,excellent script
alcatraz,lawyers,lawyer,prison,corruption
small town,father son relationship,character study,relationships,drinking
drama,disability,touching,doctors,dramatic
new jersey,police corruption,police,cars,brutality
dreams,serial killer,psychology,original,guilt
cyborgs,sequel,sequels,original,sci-fi
love,romance,original,independent film,finnish
violence,violent,gratuitous violence,brutality,controversial
romantic comedy,destiny,romantic,robert downey jr,romance
violence,brutality,violent,powerful ending,visceral
virus,military,tom clancy,good,tense
hit men,assassin,action,imdb top 250,hitman
independent film,original,love story,family,romance
chick flick,love story,original,romantic,romance
hit men,gratuitous violence,dark humor,masterpiece,imdb top 250
brutality,violence,true story,factual,history
culture clash,original,life philosophy,immigrants,touching
catholicism,gay,homosexuality,sexual abuse,god
manipulation,based on true story,true story,great acting,reality tv
hawaii,japan,storytelling,tokyo,historical
france,history,french,historical,costume drama
western,gunfight,small town,redemption,vengeance
cancer,mentor,family,drama,good
fashion,nudity (full frontal - notable),ensemble cast,nudity (topless - notable),satire
enigmatic,golden palm,meditative,trilogy,foreign
enigmatic,reflective,criterion,meditative,melancholy
